FilePath,FileName,Directory,DateTimeOriginal,FileModifyDate,DateTime,DateTimeModified,DateTimeAdjusted,Region,Site,Camera,NewName
U:/Test Images/Peru/S90/SDZG 1/EK000029.JPG,EK000029.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:04 15:03:05,2014:07:04 13:03:04-07:00,2014-07-04 15:03:05,2014-07-04 13:03:04,2014-07-04 13:03:04,Test Images,Peru,S90,Test Images_Peru_20140704_150305_EK000029.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000030.JPG,EK000030.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:04 15:03:05,2014:07:04 13:03:04-07:00,2014-07-04 15:03:05,2014-07-04 13:03:04,2014-07-04 13:03:04,Test Images,Peru,S90,Test Images_Peru_20140704_150305_EK000030.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000031.JPG,EK000031.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:05 00:44:38,2014:07:04 22:44:38-07:00,2014-07-05 00:44:38,2014-07-04 22:44:38,2014-07-04 22:44:38,Test Images,Peru,S90,Test Images_Peru_20140705_004438_EK000031.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000032.JPG,EK000032.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:05 00:44:38,2014:07:04 22:44:38-07:00,2014-07-05 00:44:38,2014-07-04 22:44:38,2014-07-04 22:44:38,Test Images,Peru,S90,Test Images_Peru_20140705_004438_EK000032.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000033.JPG,EK000033.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:05 00:44:39,2014:07:04 22:44:38-07:00,2014-07-05 00:44:39,2014-07-04 22:44:38,2014-07-04 22:44:38,Test Images,Peru,S90,Test Images_Peru_20140705_004439_EK000033.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000034.JPG,EK000034.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:05 12:41:41,2014:07:05 10:41:40-07:00,2014-07-05 12:41:41,2014-07-05 10:41:40,2014-07-05 10:41:40,Test Images,Peru,S90,Test Images_Peru_20140705_124141_EK000034.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000035.JPG,EK000035.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:05 12:41:42,2014:07:05 10:41:42-07:00,2014-07-05 12:41:42,2014-07-05 10:41:42,2014-07-05 10:41:42,Test Images,Peru,S90,Test Images_Peru_20140705_124142_EK000035.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000036.JPG,EK000036.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:05 12:41:42,2014:07:05 10:41:42-07:00,2014-07-05 12:41:42,2014-07-05 10:41:42,2014-07-05 10:41:42,Test Images,Peru,S90,Test Images_Peru_20140705_124142_EK000036.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000037.JPG,EK000037.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 00:25:33,2014:07:05 22:25:32-07:00,2014-07-06 00:25:33,2014-07-05 22:25:32,2014-07-05 22:25:32,Test Images,Peru,S90,Test Images_Peru_20140706_002533_EK000037.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000038.JPG,EK000038.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 00:25:33,2014:07:05 22:25:32-07:00,2014-07-06 00:25:33,2014-07-05 22:25:32,2014-07-05 22:25:32,Test Images,Peru,S90,Test Images_Peru_20140706_002533_EK000038.JPG
